,id,size,freq,q1,q2,q3,q4,RT,correct
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,16,1,NF,17,18,19,20,10025,53
0,16,1,NF,17,18,19,20,10025,52
0,16,1,LF,5,6,0,0,10025,62
0,16,1,HF,0,0,3,4,10025,59
0,16,1,NF,21,0,0,24,10025,61
0,16,1,LF,13,0,0,16,10025,58
0,16,1,NF,0,22,23,0,10025,57
0,16,1,HF,9,0,11,0,10025,64
0,16,1,LF,0,14,15,0,10025,61
0,16,1,LF,0,0,7,8,10025,62
0,16,1,HF,1,2,3,4,10025,57
0,16,1,HF,1,2,0,0,10025,64
0,16,1,LF,5,6,7,8,10025,50
0,16,1,HF,9,2,3,12,10025,52
0,16,1,HF,0,10,0,12,7250,62
0,16,1,LF,13,14,15,16,10025,49
0,16,1,NF,0,18,0,20,8175,64
0,16,1,HF,9,10,11,12,10025,52
0,16,1,NF,17,0,19,0,5675,64
0,16,1,LF,13,6,15,8,9275,49
0,16,1,NF,21,22,19,20,10025,55
0,16,1,HF,1,10,11,4,10025,50
0,16,1,LF,5,14,7,16,10025,55
0,16,1,NF,17,18,23,24,8000,54
